D;UNIT;
73056;ROMA BC1 (PROV);
73081;ROMA LABORATORIO;
73471;ROMA AB22 POMEZIA;
73485;ROMA 21A FRASCATI;
73504;ROMA 1B;
73509;ROMA CARRO SOLLEVAMENTI;
73510;ROMA 1A (PROV);
73513;ROMA 31A CAMPAGNANO;
73518;ROMA 3A;
73520;ROMA 5A MONTELIBRETTI;
73523;ROMA 5 GRU MONTELIBRETTI;
73527;ROMA 6A NOMENTANO;
73528;ROMA AB6 NOMENTANO;
73529;ROMA AS6 NOMENTANO;
73530;ROMA TA6 NOMENTANO;
73532;ROMA CRRC;
73533;ROMA 01B (PROV);
73534;ROMA 25A BRACCIANO;
73535;ROMA AB7 OSTIENSE;
73536;ROMA VIGILE COORDINATORE?;
73537;ROMA TE7 OSTIENSE;
73538;ROMA CARRO TELI OSTIENSE;
73539;ROMA 8A CAMPAGNANO;
73542;ROMA ?;
73545;ROMA 9A PRATI;
73546;ROMA AB12 TUSCOLANO2;
73547;ROMA AS9 PRATI;
73552;ROMA 27A VELLETRI;
73554;ROMA 10A LA RUSTICA;
73556;ROMA 6;
73559;ROMA CARRO CROLLI;
73561;ROMA AB10 LA RUSTICA;
73562;ROMA 11A EUR;
73563;ROMA AB11 EUR;
73564;ROMA AS11 EUR;
73566;ROMA 010 GRU;
73568;ROMA 23A ANZIO;
73569;ROMA 12A TUSCOLANO;
73571;ROMA AS12 TUSCOLANO;
73575;ROMA OSTIA 13A;
73577;ROMA OSTIA AS13;
73581;ROMA SULBIACO 14A;
73582;ROMA SULBIACO AB14;
73586;ROMA MARINO 15A;
73588;ROMA 10A;
73591;ROMA COLLEFERRO 16A;
73593;ROMA COLLEFERRO 16A2;
73602;ROMA CIVITAVECCHIA AS17;
73605;ROMA CIVITAVECCHIA 17GRU;
73610;ROMA TIVOLI 18A;
73619;ROMA FRASCATI 21A;
73621;ROMA 21A2 FRASCATI;
73626;ROMA 22A POMEZIA;
73627;ROMA FRASCATI AB22;
73633;ROMA ANZIO 23A;
73638;ROMA 24A PALESTRINA;
73643;ROMA BRACCIANO 25A;
73646;ROMA GOMMONE BRACCIANO;
73647;ROMA AS22 POMEZIA;
73649;ROMA 27C VELLETRI;
73650;ROMA VELLETRI 27A;
73656;ROMA 31C CAMPAGNANO;
73658;ROMA 24C PALESTRINA;
73661;ROMA AB32 NEMI;
73664;ROMA ?E32 NEMI;
73668;ROMA ANGUILLARA 34A;
73673;ROMA ANZIO COMBI23;
73675;ROMA CERVETERI 26A;
73701;ROMA IMBARCAZIONE FLUVIALE;
73707;ROMA R12 (motobarca pompa tipo piccolo);
73702;ROMA CIVITAVECCHIA 17A;
73708;ROMA MB07;
73731;ROMA SOMMOZZATORI S1;
73733;ROMA SOMMOZZATORI S1;
73738;ROMA SOMMOZZATORI S2;
73752;ROMA CRRC;
73754;ROMA CRRC;
73764;ROMA TE12 TUSCOLANO;
73792;ROMA 1B;
73794;ROMA 29A;
74001;ROVIGO COM.PROV.;
75001;SALERNO COM.PROV.;
76001;SASSARI COM.PROV.;
77001;SAVONA COM.PROV.;
78001;SIENA COM.PROV.;
78010;SIENA MONTEPULCIANO;
78011;SIENA POGGIBONSI;
